OrderId,ItemId,ProductName,Price,Order_status,Date_Delevered,Colour,Size,Seller
OD118700153966983000,1.187E+16,VAKIBO Back Cover for OnePlus 7,219,Delivered,May 23 2020,Black,Size Not Applicable,SearchNShop.in
OD118149106881229000,1.18149E+16,TP-Link (TL-WN725N) Wi-fi receiver/Wi-fi...,695,Delivered,Mar 23 2020,Black,Size Not Applicable,Best_In_Tech
OD117996990420750000,1.17997E+16,Wish I Could Tell You,117,Cancelled,Mar 23 2020,Colour Not Available,Size Not Applicable,TrueComRetail
OD117971174718769000,1.17971E+16,LooMantha Top Loading Washing Machine  C...,215,Delivered,Mar 03 2020,Gold,Size Not Applicable,LEPL
OD117734012523840000,1.17734E+16,Dettol Siti Shield Carbon Activated Air-...,199,Delivered,Feb 05 2020,Free Size,Size Not Applicable,RetailNet
OD117626187039968000,1.17626E+16,"Whirlpool 6 kg 5 Star, Hard Water wash F...","11,491",Delivered,Jan 22 2020,Grey,Size Not Applicable,OmniTechRetail
OD117497256564411000,1.17497E+16,Park Avenue Good Morning Freshness Body ...,135,Delivered,Jan 06 2020,Colour Not Available,Size Not Applicable,SuperComNet
OD117475742299742000,1.17476E+16,"ZORO Men Casual, Party, Formal, Evening ...",268,Delivered,Jan 04 2020,Black,Size Not Applicable,Alfa Retail Corp
OD117450044323422000,1.1745E+16,"VOGARD Men Evening, Party, Formal, Casua...",599,Cancelled,Jan 04 2020,Black,Size Not Applicable,REPLRetail
OD117384814623283000,1.17385E+16,Urbano Fashion Slim Fit Men Light Blue T...,670,Delivered,Dec 25 2019,Light Blue,28, ImperialClothing
OD117355815008688000,1.17356E+16,IWS 144 TC Polyester Single Geometric Be...,189,Delivered,Dec 22 2019,Blue,Single,RetailNet
OD116946581291139000,1.16947E+16,Rope Men Checkered Casual Black Shirt,494,Delivered,Nov 05 2019,Blue,Single,RetailNet
OD116926284331547000,1.16926E+16,Kuber Industries Designer Extra Large Si...,499,Delivered,Nov 05 2019,Pink,Size Not Applicable,KUBERINDUSTRIES
OD116861705857825000,1.16862E+16,Pigeon Essentials Tawa 25 cm diameter,329,Delivered,Oct 30 2019,Blue,Size Not Applicable,RetailNet
OD116661435179559000,1.16661E+16,Milton Double Decker 3 Containers Lunch ...,144,Delivered,Oct 03 2019,Blue,Size Not Applicable,RetailNet
OD116658978754573000,1.16659E+16,Roadster Full Sleeve Solid Men Sweatshir...,475,Cancelled,Oct 03 2019,Black,M,SAVADIKAFASHION
OD116653816567237000,1.16654E+16,Pigeon Favourite IC 1800 W Induction Coo...,"1,049",Delivered,Sep 30 2019,Black,Size Not Applicable,RetailNet
OD116653748542985000,1.16654E+16,Pigeon Favourite IC 1800 W Induction Coo...,"1,049",Delivered,Sep 30 2019,Black,Size Not Applicable,RetailNet
OD116304542534528000,1.16305E+16,Flipkart SmartBuy M4D12Q Runtime : 60 mi...,449,Delivered,Aug 20 2019,Black,Size Not Applicable,RetailNet
OD116039816329743000,1.1604E+16,KRX 18 kg COMBO 4 WB -SL Home Gym Combo,"1,259",Delivered,Jul 25 2019,Black,Size Not Applicable,HEADLYFITNESS
OD115350927563070000,1.15351E+16,Highlander Men Solid Casual White Shirt,499,Delivered,May 03 2019,Black,Size Not Applicable,HEADLYFITNESS
OD115233180004358000,1.15233E+16,"Realme C1 (Mirror Black, 32 GB)","7,124",Delivered,Apr 19 2019,Mirror Black,Size Not Applicable,SuperComNet
OD115034313077658000,1.15034E+16,Flipkart SmartBuy Rich Bass Wired Metal ...,300,Delivered,Mar 26 2019,Grey,Size Not Applicable,SuperComNet
OD114501224364714000,1.14501E+16,"ManQ Solid Single Breasted Formal, Weddi...","1,649",Delivered,Jan 28 2019,Brown,36,ManQ
OD114313253227029000,1.14313E+16,Flipkart SmartBuy Rich Bass Wired Metal ...,375,Delivered,Jan 01 2019,Grey,Size Not Applicable,SuperComNet
OD114229451135942000,1.14229E+16,EASYBIZZ Back Cover for Motorola Moto G5...,131,Delivered,Dec 23 2018,Grey,Size Not Applicable,SuperComNet
OD114078680984233000,1.14079E+16,Nivia Crystal Gym & Fitness Gloves,149,Delivered,Dec 05 2018,Black,7.5-8,RetailNet
OD113888879840789000,1.13889E+16,MuscleBlaze Super Gainer XXL Weight Gain...,785.5,Cancelled,Dec 05 2018,SuperComNet,Size Not Applicable,SuperComNet
OD113785735897818000,1.13786E+16,MuscleBlaze Mass Gainer XXL Weight Gaine...,869,Cancelled,Dec 05 2018,BrightLifecare,Red,LEPL
OD113785735897818000,1.13786E+16,MuscleBlaze Mass Gainer XXL Weight Gaine...,668,Delivered,Oct 25 2018,BrightLifecare,Red,LEPL
OD113718063510219000,1.13718E+16,MuscleBlaze Super Gainer XXL Weight Gain...,722,Delivered,Oct 25 2018,SuperComNet,Blue,RetailNet
OD113607817322601000,1.13608E+16,Mi Band - HRX Edition,999,Cancelled,Oct 25 2018,Black,Regular,RetailNet
OD113462638540185000,1.13463E+16,Classic Polo Men Estima Brief,470,Delivered,Sep 26 2018,Multicolor,S,ClassicPolo
OD113240343718965000,1.1324E+16,BUWCH MENS FORMAL BLACK SHOE Party Wear ...,598,Delivered,Sep 01 2018,Black,10,BUWCH
OD113151939921116000,1.13152E+16,Metronaut Men Solid Formal Light Blue Sh...,549,Delivered,Aug 22 2018,Black,10,BUWCH
OD212248512282863000,2.12249E+16,Sparx SS-702 Men Black Sports Sandals,479,Delivered,May 09 2018,Black,10, ABEnterprises
OD211833268536181000,2.11833E+16,Flipkart SmartBuy Rich Bass Wired Metal ...,375,Delivered,Mar 21 2018,Grey,SuperComNet,SuperComNet
OD211699326659257000,2.11699E+16,"Cracking C,C++ and Java Interview",321,Delivered,Mar 05 2018,TrueComRetail,Grey,SuperComNet
OD211573575509146000,2.11574E+16,Mi Band - HRX Edition,"1,299",Delivered,Feb 18 2018,Black,Regular,RetailNet
OD111413889522981000,1.11414E+16,Puma Prime IDP Men Black Sports Sandals,"1,232",Delivered,Jan 31 2018,Black,10,RetailNet
OD111364776412025000,1.11365E+16,HP 678 Black Ink Cartridge,636,Delivered,Jan 29 2018,Black,Size Not Applicable,RetailNet
OD111270343711435000,1.1127E+16,Quantitative Aptitude for Competitive Ex...,551,Delivered,Jan 16 2018,TrueComRetail,Size Not Applicable,TrueComRetail
OD111225694945163000,1.11226E+16,Nivia Storm Revolution Football - Size: ...,399,Cancelled,Jan 16 2018,"White,Blue",5,RetailNet
OD111225625546740000,1.11226E+16,Nivia Storm Football - Size: 5,299,Cancelled,Jan 16 2018,Multicolor,5,RetailNet
OD110459501103625000,1.1046E+16,Ambrane 10000 mAh Power Bank (Fast Charg...,699,Cancelled,Jan 16 2018,Multicolor,Size Not Applicable,RetailNet
OD110127402674040000,1.10127E+16,eCraftIndia Wood Photo Frame,581,Cancelled,Jan 16 2018,Black,Size Not Applicable,eCraftIndia
OD109526095294816000,1.95261E+15,Puma Miami Fashion II DP Flip Flops,459,Returned,Jan 16 2018,Black,Size Not Applicable,eCraftIndia
OD109490577770005000,1.94906E+15,Philips QT4001/15  Runtime: 45 min Trimm...,"1,219",Delivered,Jun 23 2017,Multicolor,Size Not Applicable,RetailNet
OD109366263925108000,1.93663E+15,Fogg Bleu - Ocean Deodorant Spray  -  Fo...,270,Delivered,Jun 08 2017,Colour Not Available,Size Not Applicable,RetailNet
OD109178294222010000,1.91783E+15,FIFA 16 STANDARD EDITION PC FULL GAME Do...,706,Cancelled,Jun 08 2017,Colour Not Available,Size Not Applicable,G2A
OD109127634426253000,1.91276E+15,Highlander Men Solid Casual Blue Shirt,539,Delivered,May 15 2017,Blue,M,RetailNet
OD109057671883611000,1.90577E+15,Highlander Men Solid Casual Black Shirt,539,Delivered,May 04 2017,Blue,M,RetailNet
OD109057452885270000,1.90575E+15,Roadster Men Solid Casual Blue Shirt,525,Cancelled,May 04 2017,Blue,M,FashionConnectMumbai
OD109032398783154000,1.90324E+15,Flipkart SmartBuy Wired Headset With Mic,439,Delivered,Apr 30 2017,Blue,Size Not Applicable,RetailNet
OD308763516422200000,3.87635E+15,KASPERSKY Internet Security 1.0 User 1 Y...,576,Delivered,Apr 03 2017,Colour Not Available,Size Not Applicable,tamilnaduonlinestore
OD308487377742638000,3.84874E+15,Java: The Complete Reference,390,Delivered,Mar 02 2017,TrueComRetail,Size Not Applicable,TrueComRetail
OD308471546101557000,3.84715E+15,Head First Java: A Brain-Friendly Guide ...,700,Cancelled,Mar 02 2017,Colour Not Available,Size Not Applicable,SaarCommunications
OD308454740667023000,3.84547E+15,Linear Integrated Circuits,395,Delivered,Feb 28 2017,Colour Not Available,Size Not Applicable,BookMahal
OD408454725257200000,4.84547E+15,Linear Integrated Circuits,395,Delivered,Feb 28 2017,Colour Not Available,Size Not Applicable,BookMahal
OD408355029391635000,4.8355E+15,REEBOK EMBOSSED FLIP Slippers,579,Delivered,Feb 13 2017,"Black,Blue",10,RetailNet
OD608316206166361000,6.83162E+15,Peter England Men Self Design Formal Lig...,689,Delivered,Feb 10 2017,"Black,Blue",10,RetailNet
OD407509911005088000,4.75099E+15,Flipkart Digital Gift Voucher,500,Delivered,Nov 04 2016,"Black,Blue",10,RetailNet
OD607509798428901000,6.75098E+15,Flipkart Digital Gift Voucher,50,Delivered,Nov 04 2016,Colour Not Available,Size Not Applicable,QWIKCILVER
OD107228928216407000,1.72289E+15,Sennheiser CX 180 Wired Headset without ...,649,Delivered,Oct 12 2016,Black,Size Not Applicable,SuperComNet
OD506701120181235000,5.67011E+15,F Gear Midus 29 L Backpack,899,Delivered,Aug 05 2016,"Maroon,Black",Size Not Applicable,FGearUber
OD506701110038977000,5.67011E+15,F Gear Midus 29 L Backpack,899,Cancelled,Aug 05 2016,"Maroon,Black",Size Not Applicable,FGearUber
OD305980317479616000,3.59803E+15,Skyy Screen Guard for Honor 4X,209,Delivered,May 16 2016,Transparent,Size Not Applicable,BigZee
OD205681974391017000,2.5682E+15,Puma Miami Fashion II DP Flip Flops,458,Delivered,Apr 10 2016,Blue,10,WS Retail
OD205532106725704000,2.55321E+15,KamaSutra Dummy127 Deodorant Spray  -  F...,170,Delivered,Mar 22 2016,Colour Not Available,Size Not Applicable,TRUSTCHEMISTS
OD305161007060543000,3.5161E+15,TENDA N301 Wireless N 300 Mbps Router,836,Delivered,Feb 09 2016,White,Size Not Applicable,DealsofDdaySLP
OD405106982038603000,4.5107E+15,Skybags Vivid Backpack,"1,079",Delivered,Feb 02 2016,Multicolor,Size Not Applicable,WS Retail
OD405103106744817000,4.51031E+15,Sparx SM-184 Running Shoes For Men,686,Delivered,Feb 03 2016,White,10,WS Retail
OD104667871022614000,1.46679E+15,JBL T250SI Wired Headset without Mic,849,Delivered,Dec 13 2015,Black,Size Not Applicable,FXAudio
OD104459589777771000,1.44596E+15,Fastrack NG3039SM01C Basics Analog Watch...,"1,478",Delivered,Nov 23 2015,Colour Not Available,Size Not Applicable,ATG
OD104377894516325000,1.43779E+15,Sony MDR-ZX100/B Bluetooth Headset witho...,829,Delivered,Nov 23 2015,Black,Size Not Applicable,mobilecomponents
OD404321798097540000,4.43218E+15,Noise Back Cover for Intex Aqua Star 2 H...,369,Cancelled,Nov 23 2015,Multicolor,Size Not Applicable,NMPL
OD304321764531431000,3.43218E+15,Copper Back Cover for Intex Aqua Star 2 ...,199,Cancelled,Nov 23 2015,Purple,Size Not Applicable,BigBTechnologies
OD404179187079880000,4.41792E+15,XOLO Play Tegra Note Tablet,"5,999",Delivered,Oct 27 2015,Purple,Size Not Applicable,BigBTechnologies
OD404177064915984000,4.41771E+15,XOLO Play Tegra Note Tablet,"7,499",Cancelled,Oct 27 2015,Multicolor,7,WS Retail
OD304170637908124001,3.41706E+15,"Asus Zenfone 2 Laser ZE550KL (Black, 16 ...","9,199",Delivered,Oct 19 2015,Black,Size Not Applicable,WS Retail
OD304170637908124000,3.41706E+15,Allen A-909 Wireless Optical Mouse,279,Returned,Oct 19 2015,Black,Size Not Applicable,WS Retail
OD104020186944808000,1.40202E+15,nCase Back Cover for Motorola Moto G (3r...,285,Delivered,Sep 29 2015,Black,Size Not Applicable,NCASYA
OD203779664574288000,2.37797E+15,"Moto G (3rd Generation) (Black, 16 GB)","12,999",Delivered,Sep 03 2015,Black,Size Not Applicable,WS Retail
OD203758420281460000,2.37584E+15,Unistuff Back Cover for Motorola Moto G ...,249,Delivered,Aug 30 2015,Blue,Size Not Applicable,FlexiRetail
OD003735875514113300,OI300037358756029578,Y & J Pack of 10 Nylon Shuttle  - Green,215,Delivered,Aug 28 2015,Green,Size Not Applicable,YandJEnterprises
OD303728798144243500,OI100037287982145078,V-Guard VIH101 1000 W Immersion Heater R...,490,Delivered,Aug 30 2015,Colour Not Available,Size Not Applicable,JanayaElectricals
OD203580742362857000,OI200035807460620764,Wildcraft Aro 21 L Backpack,995,Delivered,Aug 11 2015,Green,Size Not Applicable,WS Retail
OD103502434698734300,OI100035024347480162,"Moto G (3rd Generation) (White, 16 GB)","12,999",Delivered,Jul 31 2015,White,WS Retail,WS Retail
OD203494229896357700,OI200034942472467347,Speed Kit 3 In 1 Front and Back Protecto...,220,Delivered,Aug 01 2015,Transparent,Size Not Applicable,MEDIASOURCE
OD002732247865558600,OI100027322478936088,Sparx Sparx Men SS-107 Black Red Floater...,523,Delivered,May 04 2015,"Red,Grey,Black",9,WS Retail
OD202725050877000100,OI100027250509008261,HP Deskjet Ink Advantage 2545 All-in-One...,"4,679",Delivered,May 04 2015,White,Size Not Applicable,WS Retail
OD302579622427827001,OD302579622427827001I9464,Micromax X088,"1,089",Returned,May 04 2015,White,Size Not Applicable,WS Retail
OD302579622427827000,OI100025796308439373,SanDisk 4 GB MicroSDHC Class 4  Memory C...,199,Cancelled,May 04 2015,Colour Not Available,Size Not Applicable,WS Retail
OD302215052491035001,OI300022150525891126,Koloredge Flip Cover for Honor Holly,160,Delivered,Mar 05 2015,Yellow,Size Not Applicable,AyushmanEnterprises
OD302215052491035000,OI000022150525888037,Huawei E8231/E8231s-1 Data Card,"1,980",Delivered,Mar 05 2015,White,Size Not Applicable,WS Retail
OD101808248102435300,OI000018082481444145,"Honor Holly (Black/White, 16 GB)","6,999",Delivered,Jan 17 2015,White,Size Not Applicable,WS Retail
OD301564358108031200,OI300015643581348638,Ncert Solutions Mathematics 12th,214,Delivered,Dec 19 2014,Colour Not Available,Size Not Applicable,WS Retail
